# command: python3 c4min_hunt_run.py ../results/k4_certs_4_n4_3.json.gz --ckpt=../results/k4_c4min_hunt_n4_3.ckpt
# commit 759e80f, k4/c4min_hunt.c sha1 32b7ad4cec3d, started Fri Sep 25 20:47:52 UTC 2026
core 90 m 7 profiles 143327232 fails 0 solved 8407 secs 0.3
core 91 m 7 profiles 143327232 fails 0 solved 8525 secs 0.5
core 92 m 7 profiles 143327232 fails 0 solved 6682 secs 0.3
core 93 m 7 profiles 143327232 fails 0 solved 8415 secs 0.3
core 94 m 7 profiles 143327232 fails 0 solved 7004 secs 0.3
core 95 m 7 profiles 143327232 fails 0 solved 9030 secs 0.3
core 96 m 7 profiles 143327232 fails 0 solved 5843 secs 0.5
core 97 m 7 profiles 143327232 fails 0 solved 9070 secs 0.4
core 98 m 7 profiles 143327232 fails 0 solved 7129 secs 0.3
core 99 m 7 profiles 143327232 fails 0 solved 10216 secs 0.6
core 100 m 7 profiles 143327232 fails 0 solved 8049 secs 0.3
core 101 m 7 profiles 143327232 fails 0 solved 8285 secs 0.3
core 102 m 7 profiles 143327232 fails 0 solved 3049 secs 0.5
core 103 m 7 profiles 143327232 fails 0 solved 4905 secs 0.4
core 104 m 7 profiles 143327232 fails 0 solved 9682 secs 0.6
core 105 m 7 profiles 143327232 fails 0 solved 3066 secs 0.2
core 106 m 7 profiles 143327232 fails 0 solved 7190 secs 0.3
core 107 m 7 profiles 143327232 fails 0 solved 8228 secs 0.4
core 108 m 7 profiles 143327232 fails 0 solved 4782 secs 0.3
core 109 m 7 profiles 143327232 fails 0 solved 4105 secs 0.3
core 110 m 7 profiles 143327232 fails 0 solved 4839 secs 0.4
core 111 m 7 profiles 143327232 fails 0 solved 6514 secs 0.3
core 112 m 7 profiles 143327232 fails 0 solved 5725 secs 0.5
core 113 m 7 profiles 143327232 fails 0 solved 8770 secs 0.2
core 114 m 7 profiles 143327232 fails 0 solved 7443 secs 0.2
core 115 m 7 profiles 143327232 fails 0 solved 6221 secs 0.4
core 116 m 7 profiles 143327232 fails 0 solved 5757 secs 0.2
core 117 m 7 profiles 143327232 fails 0 solved 5026 secs 0.2
core 118 m 7 profiles 143327232 fails 0 solved 7250 secs 0.5
core 119 m 7 profiles 143327232 fails 0 solved 7194 secs 0.2
core 120 m 7 profiles 143327232 fails 0 solved 5856 secs 0.4
core 121 m 7 profiles 143327232 fails 0 solved 8192 secs 0.3
core 122 m 7 profiles 143327232 fails 0 solved 5763 secs 0.2
core 123 m 7 profiles 143327232 fails 0 solved 7384 secs 0.4
core 124 m 7 profiles 143327232 fails 0 solved 7746 secs 0.2
