# command: python3 c4min_hunt_run.py ../results/k4_certs_6_n4_1.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n6_1.ckpt
# commit bf2f6af, k4/c4min_hunt.c sha1 60fbc9be5f85, started Fri Sep 25 23:37:09 UTC 2026
core 90 m 5 profiles 2239488 fails 0 solved 11199 secs 0.1
core 91 m 5 profiles 2239488 fails 0 solved 10552 secs 0.1
core 92 m 5 profiles 2239488 fails 0 solved 12932 secs 0.1
core 93 m 5 profiles 2239488 fails 0 solved 10036 secs 0.1
core 94 m 5 profiles 2239488 fails 0 solved 8259 secs 0.1
core 95 m 5 profiles 2239488 fails 0 solved 9478 secs 0.1
core 96 m 5 profiles 2239488 fails 0 solved 8462 secs 0.1
core 97 m 5 profiles 2239488 fails 0 solved 9370 secs 0.1
core 98 m 5 profiles 2239488 fails 0 solved 8440 secs 0.1
core 99 m 5 profiles 2239488 fails 0 solved 9269 secs 0.1
core 100 m 5 profiles 2239488 fails 0 solved 9940 secs 0.1
core 101 m 5 profiles 2239488 fails 0 solved 8937 secs 0.1
core 102 m 5 profiles 2239488 fails 0 solved 9257 secs 0.1
core 103 m 5 profiles 2239488 fails 0 solved 11202 secs 0.1
core 104 m 5 profiles 2239488 fails 0 solved 8265 secs 0.1
core 105 m 5 profiles 2239488 fails 0 solved 9594 secs 0.1
core 106 m 5 profiles 2239488 fails 0 solved 11012 secs 0.1
core 107 m 5 profiles 2239488 fails 0 solved 10047 secs 0.1
core 108 m 5 profiles 2239488 fails 0 solved 9624 secs 0.1
core 109 m 5 profiles 2239488 fails 0 solved 17477 secs 0.1
core 110 m 5 profiles 2239488 fails 0 solved 16435 secs 0.1
core 111 m 5 profiles 2239488 fails 0 solved 10534 secs 0.1
core 112 m 5 profiles 2239488 fails 0 solved 12414 secs 0.1
core 113 m 5 profiles 2239488 fails 0 solved 10237 secs 0.1
core 114 m 5 profiles 2239488 fails 0 solved 12138 secs 0.1
core 115 m 5 profiles 2239488 fails 0 solved 10649 secs 0.1
core 116 m 5 profiles 2239488 fails 0 solved 10417 secs 0.1
core 117 m 5 profiles 2239488 fails 0 solved 11742 secs 0.1
core 118 m 5 profiles 2239488 fails 0 solved 10111 secs 0.1
core 119 m 5 profiles 2239488 fails 0 solved 10475 secs 0.1
core 120 m 5 profiles 2239488 fails 0 solved 9877 secs 0.1
core 121 m 5 profiles 2239488 fails 0 solved 9880 secs 0.1
core 122 m 5 profiles 2239488 fails 0 solved 9384 secs 0.1
core 123 m 5 profiles 2239488 fails 0 solved 9163 secs 0.1
core 124 m 5 profiles 2239488 fails 0 solved 10685 secs 0.1
core 125 m 6 profiles 1119744 fails 0 solved 5056 secs 0.0
core 126 m 6 profiles 1119744 fails 0 solved 4228 secs 0.0
core 127 m 6 profiles 1119744 fails 0 solved 12905 secs 0.0
core 128 m 6 profiles 1119744 fails 0 solved 4387 secs 0.0
core 129 m 6 profiles 1119744 fails 0 solved 9637 secs 0.0
core 130 m 6 profiles 1119744 fails 0 solved 7788 secs 0.0
core 131 m 6 profiles 1119744 fails 0 solved 9251 secs 0.0
core 132 m 6 profiles 1119744 fails 0 solved 4305 secs 0.0
core 133 m 6 profiles 1119744 fails 0 solved 8699 secs 0.0
core 134 m 6 profiles 1119744 fails 0 solved 6476 secs 0.0
core 135 m 6 profiles 1119744 fails 0 solved 8176 secs 0.0
core 136 m 6 profiles 1119744 fails 0 solved 6736 secs 0.0
core 137 m 6 profiles 1119744 fails 0 solved 4622 secs 0.0
core 138 m 6 profiles 1119744 fails 0 solved 7105 secs 0.0
core 139 m 6 profiles 1119744 fails 0 solved 7280 secs 0.0
core 140 m 6 profiles 1119744 fails 0 solved 10381 secs 0.0
core 141 m 6 profiles 1119744 fails 0 solved 4672 secs 0.0
core 142 m 6 profiles 1119744 fails 0 solved 4672 secs 0.0
core 143 m 6 profiles 2239488 fails 0 solved 13562 secs 0.0
core 144 m 6 profiles 2239488 fails 0 solved 13241 secs 0.0
core 145 m 6 profiles 2239488 fails 0 solved 6896 secs 0.0
