# pass 1: $ cd k4 && python3 mincex_cert.py ../results/k4_min_cex_shapes_4.json.gz OUT --jobs=3 --timeout=30   (search4.py scanner; stopped after 2,463 cores and resumed in pass 2)
5558 cores, 0 in the checkpoint, 5558 to run
n = 5, m = 10, kinds Q3P4P4P4P3, 859963392 profiles: 107 allocations, 0 D2 failures, 0.8 s
n = 5, m = 10, kinds Q4P4P4P3P3, 382205952 profiles: 64 allocations, 0 D2 failures, 0.7 s
n = 5, m = 10, kinds Q4P4P4P3P3, 382205952 profiles: 83 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds P4Q4P4P3P3, 4976640 profiles: 20 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4P4P4Q3P3, 859963392 profiles: 111 allocations, 0 D2 failures, 0.8 s
n = 5, m = 11, kinds P4P4P4P4P3, 41278242816 profiles: 227 allocations, 0 D2 failures, 8.5 s
n = 5, m = 10, kinds P4P4P4Q3P3, 859963392 profiles: 125 allocations, 0 D2 failures, 1.5 s
n = 5, m = 11, kinds P4P4P4P4P3, 41278242816 profiles: 193 allocations, 0 D2 failures, 16.4 s
n = 5, m = 10, kinds Q4P4P3P4P3, 207360 profiles: 8 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4P4P4Q3P3, 4976640 profiles: 13 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds P4P4Q3P4P3, 4976640 profiles: 16 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q3P4P4P4P3, 47775744 profiles: 19 allocations, 0 D2 failures, 0.2 s
n = 5, m = 11, kinds P4P4P4P4P3, 238878720 profiles: 34 allocations, 0 D2 failures, 0.6 s
n = 5, m = 10, kinds Q4P4P4P3P3, 3317760 profiles: 17 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4P4P3P4P3, 382205952 profiles: 62 allocations, 0 D2 failures, 0.7 s
n = 5, m = 10, kinds Q4P3P4P4P3, 3317760 profiles: 18 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds Q4P4P3P4P3, 23887872 profiles: 43 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4P4P4Q3P3, 4976640 profiles: 13 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4P4Q3P4P3, 4976640 profiles: 17 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4Q3P4P4P3, 4976640 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q3P4P4P4P3, 47775744 profiles: 18 allocations, 0 D2 failures, 0.3 s
n = 5, m = 11, kinds P4P4P4P4P3, 238878720 profiles: 30 allocations, 0 D2 failures, 0.7 s
n = 5, m = 10, kinds Q4P4P4P3P3, 3317760 profiles: 9 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4Q4P4P3P3, 207360 profiles: 2 allocations, 0 D2 failures, 0.0 s
n = 5, m = 10, kinds P4P4P4P3Q3, 4976640 profiles: 22 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds P4Q3P4P3P4, 47775744 profiles: 16 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q3P4P4P3P4, 4976640 profiles: 16 allocations, 0 D2 failures, 0.2 s
n = 5, m = 11, kinds P4P4P4P3P4, 238878720 profiles: 39 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds Q4P4P3P4P3, 207360 profiles: 4 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P4P3P4P3, 207360 profiles: 7 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4Q4P3P4P3, 28800 profiles: 2 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P4P3P4P3, 207360 profiles: 5 allocations, 0 D2 failures, 0.1 s
