# command: python3 c4min_hunt_run.py ../results/k4_certs_2.json.gz ../results/k4_certs_3.json.gz ../results/k4_certs_4_n4_1.json.gz ../results/k4_certs_4_n4_2.json.gz -V
# commit d478b63, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:12:42 UTC 2026
core 34 m 6 profiles 62208 fails 0 solved 162 secs 0.1
core 35 m 6 profiles 62208 fails 0 solved 53 secs 0.1
core 36 m 6 profiles 62208 fails 0 solved 222 secs 0.0
core 37 m 6 profiles 62208 fails 0 solved 115 secs 0.0
core 38 m 6 profiles 62208 fails 0 solved 175 secs 0.0
core 39 m 6 profiles 62208 fails 0 solved 82 secs 0.1
core 40 m 6 profiles 62208 fails 0 solved 183 secs 0.1
core 41 m 6 profiles 62208 fails 0 solved 190 secs 0.0
core 42 m 6 profiles 62208 fails 0 solved 113 secs 0.0
core 43 m 6 profiles 62208 fails 0 solved 170 secs 0.0
core 44 m 6 profiles 62208 fails 0 solved 175 secs 0.1
core 45 m 6 profiles 62208 fails 0 solved 58 secs 0.1
core 46 m 6 profiles 62208 fails 0 solved 64 secs 0.0
core 47 m 6 profiles 62208 fails 0 solved 131 secs 0.0
core 48 m 6 profiles 62208 fails 0 solved 61 secs 0.0
core 49 m 6 profiles 62208 fails 0 solved 196 secs 0.0
core 50 m 6 profiles 62208 fails 0 solved 174 secs 0.0
core 51 m 6 profiles 62208 fails 0 solved 50 secs 0.1
core 52 m 6 profiles 62208 fails 0 solved 96 secs 0.1
core 53 m 6 profiles 62208 fails 0 solved 169 secs 0.0
core 54 m 6 profiles 62208 fails 0 solved 72 secs 0.0
core 55 m 6 profiles 62208 fails 0 solved 110 secs 0.0
core 56 m 6 profiles 62208 fails 0 solved 93 secs 0.0
core 57 m 6 profiles 62208 fails 0 solved 57 secs 0.1
core 58 m 6 profiles 62208 fails 0 solved 63 secs 0.1
core 59 m 6 profiles 62208 fails 0 solved 64 secs 0.0
core 60 m 6 profiles 62208 fails 0 solved 84 secs 0.0
core 61 m 6 profiles 62208 fails 0 solved 54 secs 0.0
core 62 m 6 profiles 62208 fails 0 solved 75 secs 0.1
core 63 m 6 profiles 62208 fails 0 solved 75 secs 0.1
core 64 m 7 profiles 31104 fails 0 solved 126 secs 0.0
core 65 m 7 profiles 31104 fails 0 solved 84 secs 0.0
core 66 m 7 profiles 31104 fails 0 solved 116 secs 0.0
core 67 m 7 profiles 31104 fails 0 solved 117 secs 0.0
core 68 m 7 profiles 31104 fails 0 solved 252 secs 0.0
core 69 m 7 profiles 31104 fails 0 solved 210 secs 0.0
core 70 m 7 profiles 31104 fails 0 solved 174 secs 0.0
core 71 m 7 profiles 31104 fails 0 solved 140 secs 0.0
core 72 m 7 profiles 31104 fails 0 solved 178 secs 0.0
core 73 m 7 profiles 31104 fails 0 solved 163 secs 0.0
core 74 m 7 profiles 31104 fails 0 solved 109 secs 0.0
core 75 m 7 profiles 31104 fails 0 solved 133 secs 0.0
core 76 m 7 profiles 31104 fails 0 solved 150 secs 0.0
core 77 m 7 profiles 31104 fails 0 solved 98 secs 0.0
core 78 m 7 profiles 31104 fails 0 solved 116 secs 0.0
core 79 m 7 profiles 31104 fails 0 solved 137 secs 0.0
core 80 m 7 profiles 31104 fails 0 solved 131 secs 0.0
core 81 m 7 profiles 62208 fails 0 solved 162 secs 0.1
core 82 m 7 profiles 62208 fails 0 solved 111 secs 0.0
core 83 m 7 profiles 62208 fails 0 solved 92 secs 0.0
core 84 m 7 profiles 62208 fails 0 solved 78 secs 0.0
core 85 m 7 profiles 62208 fails 0 solved 55 secs 0.1
core 86 m 7 profiles 62208 fails 0 solved 60 secs 0.0
core 87 m 7 profiles 62208 fails 0 solved 53 secs 0.1
core 88 m 7 profiles 62208 fails 0 solved 113 secs 0.0
core 89 m 7 profiles 62208 fails 0 solved 108 secs 0.1
core 90 m 7 profiles 62208 fails 0 solved 66 secs 0.0
core 91 m 7 profiles 62208 fails 0 solved 7 secs 0.0
core 92 m 7 profiles 62208 fails 0 solved 77 secs 0.0
core 93 m 7 profiles 62208 fails 0 solved 9 secs 0.0
core 94 m 7 profiles 62208 fails 0 solved 48 secs 0.1
core 95 m 7 profiles 62208 fails 0 solved 61 secs 0.1
core 96 m 7 profiles 62208 fails 0 solved 42 secs 0.0
core 97 m 7 profiles 62208 fails 0 solved 48 secs 0.0
core 98 m 7 profiles 62208 fails 0 solved 33 secs 0.1
core 99 m 7 profiles 62208 fails 0 solved 53 secs 0.0
core 100 m 7 profiles 62208 fails 0 solved 57 secs 0.0
core 101 m 7 profiles 62208 fails 0 solved 9 secs 0.1
core 102 m 7 profiles 62208 fails 0 solved 53 secs 0.0
