# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_1.json.gz ../results/k4_certs_5_n4_2.json.gz --ckpt=../results/k4_c4min_hunt_n5_12.ckpt
# commit 4eb9656, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:11:03 UTC 2026
core 92 m 6 profiles 373248 fails 0 solved 1931 secs 0.0
core 93 m 6 profiles 373248 fails 0 solved 2105 secs 0.0
core 94 m 6 profiles 373248 fails 0 solved 2145 secs 0.0
core 95 m 6 profiles 373248 fails 0 solved 2051 secs 0.0
core 96 m 6 profiles 373248 fails 0 solved 1747 secs 0.0
core 97 m 6 profiles 373248 fails 0 solved 2451 secs 0.0
core 98 m 6 profiles 373248 fails 0 solved 2608 secs 0.0
core 99 m 6 profiles 373248 fails 0 solved 2103 secs 0.0
core 100 m 6 profiles 373248 fails 0 solved 2160 secs 0.0
core 101 m 6 profiles 373248 fails 0 solved 1951 secs 0.0
core 102 m 6 profiles 373248 fails 0 solved 4208 secs 0.0
core 103 m 6 profiles 373248 fails 0 solved 1802 secs 0.0
core 104 m 6 profiles 373248 fails 0 solved 1867 secs 0.0
core 105 m 6 profiles 373248 fails 0 solved 1932 secs 0.0
core 106 m 6 profiles 373248 fails 0 solved 1843 secs 0.0
core 107 m 6 profiles 373248 fails 0 solved 2325 secs 0.0
core 108 m 6 profiles 373248 fails 0 solved 1921 secs 0.0
core 109 m 6 profiles 373248 fails 0 solved 1880 secs 0.0
core 110 m 6 profiles 373248 fails 0 solved 2252 secs 0.0
core 111 m 6 profiles 373248 fails 0 solved 1848 secs 0.0
core 112 m 6 profiles 373248 fails 0 solved 1828 secs 0.0
core 113 m 6 profiles 373248 fails 0 solved 1866 secs 0.0
core 114 m 6 profiles 373248 fails 0 solved 2186 secs 0.0
core 115 m 6 profiles 373248 fails 0 solved 2246 secs 0.0
core 116 m 6 profiles 373248 fails 0 solved 2127 secs 0.0
core 117 m 6 profiles 373248 fails 0 solved 2087 secs 0.0
core 118 m 6 profiles 373248 fails 0 solved 2065 secs 0.0
core 119 m 6 profiles 373248 fails 0 solved 1887 secs 0.0
core 120 m 6 profiles 373248 fails 0 solved 1716 secs 0.0
core 121 m 6 profiles 373248 fails 0 solved 1771 secs 0.0
core 122 m 6 profiles 373248 fails 0 solved 1869 secs 0.0
core 123 m 6 profiles 373248 fails 0 solved 2594 secs 0.0
core 124 m 6 profiles 373248 fails 0 solved 1932 secs 0.0
core 125 m 6 profiles 373248 fails 0 solved 2338 secs 0.0
core 126 m 6 profiles 373248 fails 0 solved 1803 secs 0.0
core 127 m 6 profiles 373248 fails 0 solved 1921 secs 0.0
core 128 m 6 profiles 373248 fails 0 solved 1862 secs 0.0
core 129 m 6 profiles 373248 fails 0 solved 2176 secs 0.0
core 130 m 6 profiles 373248 fails 0 solved 2176 secs 0.0
core 131 m 6 profiles 373248 fails 0 solved 2277 secs 0.0
core 132 m 6 profiles 373248 fails 0 solved 2236 secs 0.0
core 133 m 6 profiles 373248 fails 0 solved 2142 secs 0.0
core 134 m 6 profiles 373248 fails 0 solved 1748 secs 0.0
core 135 m 6 profiles 373248 fails 0 solved 2701 secs 0.0
core 136 m 6 profiles 373248 fails 0 solved 2367 secs 0.0
core 137 m 6 profiles 373248 fails 0 solved 1990 secs 0.0
core 138 m 6 profiles 373248 fails 0 solved 2303 secs 0.0
core 139 m 6 profiles 373248 fails 0 solved 2658 secs 0.0
core 140 m 6 profiles 373248 fails 0 solved 2268 secs 0.0
core 141 m 6 profiles 373248 fails 0 solved 2384 secs 0.0
core 142 m 6 profiles 373248 fails 0 solved 2461 secs 0.0
core 143 m 6 profiles 373248 fails 0 solved 2395 secs 0.0
core 144 m 6 profiles 373248 fails 0 solved 2401 secs 0.0
core 145 m 6 profiles 373248 fails 0 solved 2475 secs 0.0
core 146 m 6 profiles 373248 fails 0 solved 2399 secs 0.0
core 147 m 6 profiles 373248 fails 0 solved 2168 secs 0.0
core 148 m 6 profiles 373248 fails 0 solved 2136 secs 0.0
core 149 m 6 profiles 373248 fails 0 solved 2075 secs 0.0
core 150 m 6 profiles 373248 fails 0 solved 2067 secs 0.0
core 151 m 6 profiles 373248 fails 0 solved 1991 secs 0.0
core 152 m 6 profiles 373248 fails 0 solved 1892 secs 0.0
core 153 m 6 profiles 373248 fails 0 solved 2191 secs 0.0
core 154 m 6 profiles 373248 fails 0 solved 2002 secs 0.0
core 155 m 6 profiles 373248 fails 0 solved 2012 secs 0.0
core 156 m 6 profiles 373248 fails 0 solved 1937 secs 0.0
core 157 m 6 profiles 373248 fails 0 solved 1970 secs 0.0
core 158 m 6 profiles 373248 fails 0 solved 2003 secs 0.0
core 159 m 6 profiles 373248 fails 0 solved 1989 secs 0.0
core 160 m 6 profiles 373248 fails 0 solved 1997 secs 0.0
core 161 m 6 profiles 373248 fails 0 solved 2124 secs 0.0
core 162 m 6 profiles 373248 fails 0 solved 2090 secs 0.0
core 163 m 6 profiles 373248 fails 0 solved 1946 secs 0.0
core 164 m 6 profiles 373248 fails 0 solved 1777 secs 0.0
core 165 m 6 profiles 373248 fails 0 solved 2012 secs 0.0
core 166 m 6 profiles 373248 fails 0 solved 2005 secs 0.0
core 167 m 6 profiles 373248 fails 0 solved 1872 secs 0.0
core 168 m 6 profiles 373248 fails 0 solved 2016 secs 0.0
core 169 m 6 profiles 373248 fails 0 solved 2033 secs 0.0
core 170 m 6 profiles 373248 fails 0 solved 1827 secs 0.0
core 171 m 6 profiles 373248 fails 0 solved 2260 secs 0.0
core 172 m 6 profiles 373248 fails 0 solved 2079 secs 0.0
core 173 m 6 profiles 373248 fails 0 solved 2244 secs 0.0
core 174 m 6 profiles 373248 fails 0 solved 2200 secs 0.0
core 175 m 6 profiles 373248 fails 0 solved 2305 secs 0.0
core 176 m 6 profiles 373248 fails 0 solved 1964 secs 0.0
core 177 m 6 profiles 373248 fails 0 solved 2131 secs 0.0
core 178 m 6 profiles 373248 fails 0 solved 1877 secs 0.0
core 179 m 6 profiles 373248 fails 0 solved 1878 secs 0.0
core 180 m 6 profiles 373248 fails 0 solved 1781 secs 0.0
core 181 m 6 profiles 373248 fails 0 solved 2125 secs 0.0
core 182 m 6 profiles 373248 fails 0 solved 2010 secs 0.0
core 183 m 6 profiles 373248 fails 0 solved 1870 secs 0.0
core 184 m 6 profiles 373248 fails 0 solved 2120 secs 0.0
core 185 m 6 profiles 373248 fails 0 solved 1914 secs 0.0
core 186 m 6 profiles 373248 fails 0 solved 1873 secs 0.0
core 187 m 6 profiles 373248 fails 0 solved 1990 secs 0.0
core 188 m 6 profiles 373248 fails 0 solved 1879 secs 0.0
core 189 m 6 profiles 373248 fails 0 solved 1906 secs 0.0
core 190 m 6 profiles 373248 fails 0 solved 1813 secs 0.0
core 191 m 6 profiles 373248 fails 0 solved 1797 secs 0.0
core 192 m 6 profiles 373248 fails 0 solved 1831 secs 0.0
core 193 m 6 profiles 373248 fails 0 solved 2096 secs 0.0
core 194 m 6 profiles 373248 fails 0 solved 1959 secs 0.0
core 195 m 6 profiles 373248 fails 0 solved 1954 secs 0.0
core 196 m 6 profiles 373248 fails 0 solved 1929 secs 0.0
core 197 m 6 profiles 373248 fails 0 solved 2127 secs 0.0
core 198 m 6 profiles 373248 fails 0 solved 1911 secs 0.0
core 199 m 6 profiles 373248 fails 0 solved 2012 secs 0.0
core 200 m 6 profiles 373248 fails 0 solved 1798 secs 0.0
core 201 m 6 profiles 373248 fails 0 solved 1895 secs 0.0
core 202 m 6 profiles 373248 fails 0 solved 1858 secs 0.0
core 203 m 6 profiles 373248 fails 0 solved 1997 secs 0.0
core 204 m 6 profiles 373248 fails 0 solved 1995 secs 0.0
core 205 m 6 profiles 373248 fails 0 solved 2160 secs 0.0
core 206 m 6 profiles 373248 fails 0 solved 1875 secs 0.0
core 207 m 6 profiles 373248 fails 0 solved 2094 secs 0.0
core 208 m 6 profiles 373248 fails 0 solved 1970 secs 0.0
core 209 m 6 profiles 373248 fails 0 solved 2047 secs 0.0
core 210 m 6 profiles 373248 fails 0 solved 1757 secs 0.0
core 211 m 6 profiles 373248 fails 0 solved 1765 secs 0.0
core 212 m 6 profiles 373248 fails 0 solved 1983 secs 0.0
core 213 m 6 profiles 373248 fails 0 solved 1987 secs 0.0
core 214 m 6 profiles 373248 fails 0 solved 1831 secs 0.0
core 215 m 6 profiles 373248 fails 0 solved 2498 secs 0.0
core 216 m 6 profiles 373248 fails 0 solved 1741 secs 0.0
core 217 m 6 profiles 373248 fails 0 solved 1594 secs 0.0
core 218 m 6 profiles 373248 fails 0 solved 1535 secs 0.0
core 219 m 6 profiles 373248 fails 0 solved 1596 secs 0.0
core 220 m 6 profiles 373248 fails 0 solved 1597 secs 0.0
core 221 m 6 profiles 373248 fails 0 solved 1282 secs 0.0
core 222 m 6 profiles 373248 fails 0 solved 1726 secs 0.0
core 223 m 6 profiles 373248 fails 0 solved 1628 secs 0.0
core 224 m 6 profiles 373248 fails 0 solved 1610 secs 0.0
core 225 m 6 profiles 373248 fails 0 solved 1956 secs 0.0
core 226 m 6 profiles 373248 fails 0 solved 1737 secs 0.0
core 227 m 6 profiles 373248 fails 0 solved 1792 secs 0.0
core 228 m 6 profiles 373248 fails 0 solved 2143 secs 0.0
core 229 m 6 profiles 373248 fails 0 solved 1964 secs 0.0
core 230 m 6 profiles 373248 fails 0 solved 1857 secs 0.0
core 231 m 6 profiles 373248 fails 0 solved 2118 secs 0.0
core 232 m 6 profiles 373248 fails 0 solved 1895 secs 0.0
core 233 m 6 profiles 373248 fails 0 solved 2230 secs 0.0
core 234 m 6 profiles 373248 fails 0 solved 2287 secs 0.0
core 235 m 6 profiles 373248 fails 0 solved 2346 secs 0.0
core 236 m 6 profiles 373248 fails 0 solved 1734 secs 0.0
core 237 m 6 profiles 373248 fails 0 solved 1688 secs 0.0
core 238 m 6 profiles 373248 fails 0 solved 1953 secs 0.0
core 239 m 6 profiles 373248 fails 0 solved 1708 secs 0.0
core 240 m 6 profiles 373248 fails 0 solved 1795 secs 0.0
core 241 m 6 profiles 373248 fails 0 solved 1841 secs 0.0
core 242 m 6 profiles 373248 fails 0 solved 1710 secs 0.0
core 243 m 6 profiles 373248 fails 0 solved 1638 secs 0.0
core 244 m 6 profiles 373248 fails 0 solved 1883 secs 0.0
core 245 m 6 profiles 373248 fails 0 solved 1681 secs 0.0
core 246 m 6 profiles 373248 fails 0 solved 2080 secs 0.0
core 247 m 6 profiles 373248 fails 0 solved 1815 secs 0.0
core 248 m 6 profiles 373248 fails 0 solved 1678 secs 0.0
core 249 m 6 profiles 373248 fails 0 solved 2005 secs 0.0
core 250 m 6 profiles 373248 fails 0 solved 1874 secs 0.0
core 251 m 6 profiles 373248 fails 0 solved 1513 secs 0.0
core 252 m 6 profiles 373248 fails 0 solved 2373 secs 0.0
core 253 m 6 profiles 373248 fails 0 solved 2425 secs 0.0
core 254 m 6 profiles 373248 fails 0 solved 1748 secs 0.0
core 255 m 6 profiles 373248 fails 0 solved 2106 secs 0.0
core 256 m 6 profiles 373248 fails 0 solved 1687 secs 0.0
core 257 m 6 profiles 373248 fails 0 solved 1683 secs 0.0
core 258 m 6 profiles 373248 fails 0 solved 1640 secs 0.0
core 259 m 6 profiles 373248 fails 0 solved 1578 secs 0.0
core 260 m 6 profiles 373248 fails 0 solved 1240 secs 0.0
core 261 m 6 profiles 373248 fails 0 solved 1328 secs 0.0
core 262 m 6 profiles 373248 fails 0 solved 1714 secs 0.0
core 263 m 6 profiles 373248 fails 0 solved 1834 secs 0.0
core 264 m 6 profiles 373248 fails 0 solved 1519 secs 0.0
core 265 m 6 profiles 373248 fails 0 solved 1692 secs 0.0
core 266 m 6 profiles 373248 fails 0 solved 1645 secs 0.0
core 267 m 6 profiles 373248 fails 0 solved 1415 secs 0.0
core 268 m 6 profiles 373248 fails 0 solved 1554 secs 0.0
core 269 m 6 profiles 373248 fails 0 solved 1894 secs 0.0
core 270 m 6 profiles 373248 fails 0 solved 1462 secs 0.0
core 271 m 6 profiles 373248 fails 0 solved 1598 secs 0.0
core 272 m 6 profiles 373248 fails 0 solved 1742 secs 0.0
core 273 m 6 profiles 373248 fails 0 solved 1696 secs 0.0
core 274 m 6 profiles 373248 fails 0 solved 1565 secs 0.0
core 275 m 6 profiles 373248 fails 0 solved 1341 secs 0.0
core 276 m 6 profiles 373248 fails 0 solved 1777 secs 0.0
core 277 m 6 profiles 373248 fails 0 solved 1755 secs 0.0
core 278 m 6 profiles 373248 fails 0 solved 1533 secs 0.0
core 279 m 6 profiles 373248 fails 0 solved 1759 secs 0.0
core 280 m 6 profiles 373248 fails 0 solved 1491 secs 0.0
core 281 m 6 profiles 373248 fails 0 solved 1486 secs 0.0
core 282 m 6 profiles 373248 fails 0 solved 1664 secs 0.0
core 283 m 6 profiles 373248 fails 0 solved 1790 secs 0.0
core 284 m 6 profiles 373248 fails 0 solved 1665 secs 0.0
core 285 m 6 profiles 373248 fails 0 solved 1908 secs 0.0
core 286 m 6 profiles 373248 fails 0 solved 1660 secs 0.0
core 287 m 6 profiles 373248 fails 0 solved 1420 secs 0.0
core 288 m 6 profiles 373248 fails 0 solved 1488 secs 0.0
core 289 m 6 profiles 373248 fails 0 solved 1413 secs 0.0
core 290 m 6 profiles 373248 fails 0 solved 1338 secs 0.0
core 291 m 6 profiles 373248 fails 0 solved 1604 secs 0.0
core 292 m 6 profiles 373248 fails 0 solved 1564 secs 0.0
core 293 m 6 profiles 373248 fails 0 solved 1388 secs 0.0
core 294 m 6 profiles 373248 fails 0 solved 1381 secs 0.0
core 295 m 6 profiles 373248 fails 0 solved 1372 secs 0.0
core 296 m 6 profiles 373248 fails 0 solved 1568 secs 0.0
core 297 m 7 profiles 186624 fails 0 solved 1829 secs 0.0
core 298 m 7 profiles 186624 fails 0 solved 1395 secs 0.0
core 299 m 7 profiles 186624 fails 0 solved 1573 secs 0.0
core 300 m 7 profiles 186624 fails 0 solved 1413 secs 0.0
core 301 m 7 profiles 186624 fails 0 solved 1414 secs 0.0
core 302 m 7 profiles 186624 fails 0 solved 1634 secs 0.0
core 303 m 7 profiles 186624 fails 0 solved 1508 secs 0.0
core 304 m 7 profiles 186624 fails 0 solved 1724 secs 0.0
core 305 m 7 profiles 186624 fails 0 solved 1603 secs 0.0
core 306 m 7 profiles 186624 fails 0 solved 1857 secs 0.0
