# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_3.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n5_3.ckpt
# commit 4127f70, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:19:13 UTC 2026
core 90 m 6 profiles 859963392 fails 0 solved 100118 secs 1.8
core 91 m 6 profiles 859963392 fails 0 solved 80063 secs 1.7
core 92 m 6 profiles 859963392 fails 0 solved 104146 secs 1.5
core 93 m 6 profiles 859963392 fails 0 solved 95794 secs 1.8
core 94 m 6 profiles 859963392 fails 0 solved 89306 secs 1.6
core 95 m 6 profiles 859963392 fails 0 solved 104947 secs 1.6
core 96 m 6 profiles 859963392 fails 0 solved 101492 secs 1.7
core 97 m 6 profiles 859963392 fails 0 solved 98514 secs 1.6
core 98 m 6 profiles 859963392 fails 0 solved 85273 secs 1.6
core 99 m 6 profiles 859963392 fails 0 solved 81367 secs 1.5
core 100 m 6 profiles 859963392 fails 0 solved 94635 secs 1.6
core 101 m 6 profiles 859963392 fails 0 solved 82069 secs 1.6
core 102 m 6 profiles 859963392 fails 0 solved 90410 secs 1.8
core 103 m 6 profiles 859963392 fails 0 solved 90689 secs 1.5
core 104 m 6 profiles 859963392 fails 0 solved 83362 secs 1.6
core 105 m 6 profiles 859963392 fails 0 solved 95365 secs 1.7
core 106 m 6 profiles 859963392 fails 0 solved 86688 secs 1.4
core 107 m 6 profiles 859963392 fails 0 solved 79178 secs 1.5
core 108 m 6 profiles 859963392 fails 0 solved 98914 secs 1.5
core 109 m 6 profiles 859963392 fails 0 solved 97109 secs 1.7
core 110 m 6 profiles 859963392 fails 0 solved 84769 secs 1.6
core 111 m 6 profiles 859963392 fails 0 solved 100418 secs 1.5
core 112 m 6 profiles 859963392 fails 0 solved 104895 secs 1.6
core 113 m 6 profiles 859963392 fails 0 solved 103561 secs 1.9
core 114 m 6 profiles 859963392 fails 0 solved 93573 secs 1.6
core 115 m 6 profiles 859963392 fails 0 solved 110967 secs 1.9
core 116 m 6 profiles 859963392 fails 0 solved 97435 secs 1.7
core 117 m 6 profiles 859963392 fails 0 solved 95594 secs 1.9
core 118 m 6 profiles 859963392 fails 0 solved 94256 secs 1.8
core 119 m 6 profiles 859963392 fails 0 solved 105301 secs 1.7
core 120 m 6 profiles 859963392 fails 0 solved 120223 secs 2.0
core 121 m 6 profiles 859963392 fails 0 solved 100704 secs 1.8
core 122 m 6 profiles 859963392 fails 0 solved 97084 secs 1.6
core 123 m 6 profiles 859963392 fails 0 solved 99501 secs 1.8
core 124 m 6 profiles 859963392 fails 0 solved 89444 secs 1.8
core 125 m 6 profiles 859963392 fails 0 solved 104548 secs 1.9
core 126 m 6 profiles 859963392 fails 0 solved 110717 secs 2.0
core 127 m 6 profiles 859963392 fails 0 solved 104050 secs 1.8
core 128 m 6 profiles 859963392 fails 0 solved 122566 secs 1.9
core 129 m 6 profiles 859963392 fails 0 solved 107088 secs 1.9
core 130 m 6 profiles 859963392 fails 0 solved 100584 secs 1.8
core 131 m 6 profiles 859963392 fails 0 solved 116181 secs 1.8
core 132 m 6 profiles 859963392 fails 0 solved 93992 secs 1.7
core 133 m 6 profiles 859963392 fails 0 solved 104829 secs 2.0
core 134 m 6 profiles 859963392 fails 0 solved 97779 secs 1.8
core 135 m 6 profiles 859963392 fails 0 solved 113125 secs 1.9
core 136 m 6 profiles 859963392 fails 0 solved 97318 secs 2.0
core 137 m 6 profiles 859963392 fails 0 solved 111988 secs 2.1
core 138 m 6 profiles 859963392 fails 0 solved 119501 secs 3.0
core 139 m 6 profiles 859963392 fails 0 solved 90780 secs 2.8
core 140 m 6 profiles 859963392 fails 0 solved 93533 secs 2.9
core 141 m 6 profiles 859963392 fails 0 solved 87865 secs 2.9
core 142 m 6 profiles 859963392 fails 0 solved 71697 secs 2.2
core 143 m 6 profiles 859963392 fails 0 solved 115911 secs 2.7
core 144 m 6 profiles 859963392 fails 0 solved 94609 secs 2.7
core 145 m 6 profiles 859963392 fails 0 solved 100387 secs 3.0
core 146 m 6 profiles 859963392 fails 0 solved 120704 secs 3.4
core 147 m 6 profiles 859963392 fails 0 solved 100476 secs 2.7
core 148 m 6 profiles 859963392 fails 0 solved 87324 secs 2.8
core 149 m 6 profiles 859963392 fails 0 solved 91317 secs 3.0
core 150 m 6 profiles 859963392 fails 0 solved 120853 secs 2.8
core 151 m 6 profiles 859963392 fails 0 solved 90153 secs 2.8
core 152 m 6 profiles 859963392 fails 0 solved 105759 secs 2.9
core 153 m 6 profiles 859963392 fails 0 solved 104396 secs 2.7
core 154 m 6 profiles 859963392 fails 0 solved 109614 secs 2.8
core 155 m 6 profiles 859963392 fails 0 solved 104817 secs 2.9
core 156 m 6 profiles 859963392 fails 0 solved 116994 secs 3.0
core 157 m 6 profiles 859963392 fails 0 solved 112564 secs 2.5
core 158 m 6 profiles 859963392 fails 0 solved 115916 secs 2.8
core 159 m 6 profiles 859963392 fails 0 solved 121703 secs 2.9
core 160 m 6 profiles 859963392 fails 0 solved 89538 secs 2.5
core 161 m 6 profiles 859963392 fails 0 solved 97990 secs 2.7
core 162 m 6 profiles 859963392 fails 0 solved 112222 secs 2.9
core 163 m 6 profiles 859963392 fails 0 solved 105955 secs 2.7
core 164 m 6 profiles 859963392 fails 0 solved 123225 secs 3.0
core 165 m 6 profiles 859963392 fails 0 solved 89958 secs 2.4
core 166 m 6 profiles 859963392 fails 0 solved 87053 secs 2.5
core 167 m 6 profiles 859963392 fails 0 solved 117584 secs 2.9
core 168 m 6 profiles 859963392 fails 0 solved 95629 secs 2.7
core 169 m 6 profiles 859963392 fails 0 solved 102279 secs 2.5
core 170 m 6 profiles 859963392 fails 0 solved 101507 secs 2.5
core 171 m 6 profiles 859963392 fails 0 solved 109341 secs 3.0
core 172 m 6 profiles 859963392 fails 0 solved 62636 secs 2.1
