# command: python3 k4/suite/run.py rulef --timeout=120
# instances: 150
## rulef: LB₄ʳ with rule F (first agent by lookahead, then index order) and at most one rotation succeeds [K4.AD.* (#44)]
  gap-itlocal-n3-m8-n3c46      n=3 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-ivmax-n4-m8-n42c203      n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-ivmax-n4-m8-n43c167      n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-ivmax-n5-m9-n53c5848     n=5 m=9   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-ivmax-n5-m9-n54c4018     n=5 m=9   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-ivmax-n5-m9-n5pc1347     n=5 m=9   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-ivsetting-n3-m6-n3c23    n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-ivsetting-n4-m7-n41c75   n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-ivsetting-n5-m8-n51c875  n=5 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-local-n3-m7-n3c43        n=3 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-npo-n2-m6                n=2 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-phi-n4-m10-pure183       n=4 m=10  adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-phi-n4-m8-pure104        n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-phi-w-n4-m10-pure178     n=4 m=10  adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-phifirst-n4-m9-n4pc133   n=4 m=9   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-samen-n4-m8-n43c147      n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-t2-n4-m8-n42c204         n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-w-n2-m5                  n=2 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-w-n4-m10-pure179         n=4 m=10  adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-w-n4-m8-pure117          n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gap-w-n4-m8-pure120          n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-A                        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-B                        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-C                        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-D                        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-E                        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-F                        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
